IdHogar;IdPersona;IdViaje;Edad;NivelEducativo;Sexo;Barrio;Estrato;CantidadHogares;TotalPersonas;RangoIngresos;TotalVehiculos;Municipio;Aplicacion;ModoPrincipal;Localidad;TipoVehiculo;DesplazamientoOrigen;Coordenadas_origen;DesplazamientoDestino;Cluster
15663;15663-6;15663-6-2;12;SEC-IN;Sin Dato;CIUDAD TINTAL;2;1;6;$4.900.001 - $ 6.800.000;1;BOGOTA, D.C;Uber ;A pie;KENNEDY;Moto;KENNEDY;;KENNEDY;cluster_0
15663;15663-6;15663-6-3;12;SEC-IN;Sin Dato;CIUDAD TINTAL;2;1;6;$4.900.001 - $ 6.800.000;1;BOGOTA, D.C;Uber ;A pie;KENNEDY;Moto;KENNEDY;;KENNEDY;cluster_0
15666;15666-6;15666-6-1;9;PRI-IN;Sin Dato;TINTAL;2;1;6;$828.117 - $ 1.500.000;1;BOGOTA, D.C;Uber ;A pie;KENNEDY;Moto;KENNEDY;;KENNEDY;cluster_0
15666;15666-6;15666-6-2;9;PRI-IN;Sin Dato;TINTAL;2;1;6;$828.117 - $ 1.500.000;1;BOGOTA, D.C;Uber ;A pie;KENNEDY;Moto;KENNEDY;;KENNEDY;cluster_0
15705;15705-6;15705-6-1;26;TEC-COM;Hombre;SANISIDRO;1;1;6;$4.900.001 - $ 6.800.000;1;BOGOTA, D.C;Uber ;Moto;CHAPINERO;Moto;CHAPINERO;4°38?45?N 74°03?48?O;CHAPINERO;cluster_0
15705;15705-6;15705-6-2;26;TEC-COM;Hombre;SANISIDRO;1;1;6;$4.900.001 - $ 6.800.000;1;BOGOTA, D.C;Uber ;Moto;CHAPINERO;Moto;CHAPINERO;4°38?45?N 74°03?48?O;CHAPINERO;cluster_0
15725;15725-6;15725-6-1;18;TEC-IN;Hombre;CIUDAD BERNA;3;1;6;No sabe - No responde;0;BOGOTA, D.C;Uber ;TransMilenio;ANTONIO NARINO;No tiene vehículo;ANTONIO NARINO;4°35?30?N 74°06?23?O;CHAPINERO;cluster_0
15725;15725-6;15725-6-2;18;TEC-IN;Hombre;CIUDAD BERNA;3;1;6;No sabe - No responde;0;BOGOTA, D.C;Uber ;TransMilenio;CHAPINERO;No tiene vehículo;CHAPINERO;4°38?45?N 74°03?48?O;ANTONIO NARINO;cluster_0
1584;1584-6;1584-6-2;5;PRE;Sin Dato;LA LAGUNA;3;1;7;$828.117 - $ 1.500.000;0;BOGOTA, D.C;Uber ;A pie;KENNEDY;No tiene vehículo;KENNEDY;;FONTIBON;cluster_0
1584;1584-6;1584-6-1;5;PRE;Sin Dato;LA LAGUNA;3;1;7;$828.117 - $ 1.500.000;0;BOGOTA, D.C;Uber ;A pie;FONTIBON;No tiene vehículo;FONTIBON;;KENNEDY;cluster_0
